t [s],T [N]
1.93,64.29084542586696
1.94,62.425798107254934
1.95,60.56075078864296
1.96,58.695703470030935
1.97,56.830656151418964
1.98,54.96560883280699
1.99,53.100561514194965
2.0,51.235514195582994
2.0100000000000002,49.85188324873093
2.02,48.674573604060924
2.0300000000000002,47.497263959390835
2.04,46.3199543147208
2.05,45.1426446700508
2.06,43.96533502538071
2.07,42.78802538071068
2.08,41.61071573604062
2.09,40.433406091370586
2.1,39.2560964467005
2.11,38.07878680203049
2.12,36.901477157360404
2.13,35.72416751269037
2.14,34.54685786802031
2.15,33.36954822335028
2.16,32.19223857868019
2.17,31.014928934010186
2.18,29.837619289340125
2.19,28.660309644670065
2.2,27.48299999999972
2.21,24.734699999999748
2.22,21.986399999999662
2.23,19.23809999999969
2.24,16.489799999999605
2.25,13.741499999999746
2.2600000000000002,10.99319999999966
2.27,8.244899999999689
2.2800000000000002,5.496599999999603
2.29,2.748299999999631
2.3000000000000003,0.0
